"data_sheet","collection_date","site","habitat","experiment_date","collection_temp","exp_start","exp_end","ramp_start","water_bath","thermometer","exp_notes","tube","ctmax","order","genus","species","author","year","instar","sex","eggs","body_length_um","id_notes","low_lat","low_lat_elevation","high_lat","high_lat_elevation","lat_range","elev_range","mean_gs"
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Large cyclopoid",2,32.8,"Cyclopoid","Megacyclops","viridis","(Jurine)",1820,"CVI","female","absent",2010,"",33.4,1864,72.4,12,39,1852,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Cyclopoid with eggs",3,37.3,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1325,"",36.6,NA,70.6,256,34,NA,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Cyclopoid with eggs",4,38,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1380,"",36.6,NA,70.6,256,34,NA,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Cyclopoid no eggs",5,33.1,"Cyclopoid","Megacyclops","viridis","(Jurine)",1820,"CV","male","absent",1485,"",33.4,1864,72.4,12,39,1852,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Cyclopoid with eggs",6,38.1,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1290,"",36.6,NA,70.6,256,34,NA,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Cyclopoid with eggs",7,38,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1385,"",36.6,NA,70.6,256,34,NA,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Cyclopoid with eggs",8,38.6,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","absent",1375,"",36.6,NA,70.6,256,34,NA,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Large cyclopoid",9,36.5,"Cyclopoid","Macrocyclops","albidus","(Jurine)",1820,"CVI","female","absent",1660,"",0,1523,72.4,12,72.4,1511,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Thermocyclops",10,39.1,"Cyclopoid","Thermocyclops","crassus","(Fischer)",1853,"CVI","female","absent",870,"",0.3,458,71.6,26,71.3,432,NA
6,"2025-07-22","Drawsko","littoral","2025-07-22",22,NA,NA,22,4,3,"Cyclopoid with eggs",12,38.1,"Cyclopoid","Eucyclops","speratus","(Lilljeborg)",1901,"CVI","female","present",1315,"",36.6,NA,70.6,256,34,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Cyclopoid with eggs",1,37.3,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",980,"",34.4,NA,72.4,10,38,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Mesocyclops? ",2,37.3,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",985,"",34.4,NA,72.4,10,38,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Cyclopoid with eggs",4,32.4,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",1010,"",34.4,NA,72.4,10,38,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Thermocyclops",5,35.8,"Cyclopoid","","sp.",NA,NA,"","","absent",NA,"No specimen in the vial!",NA,NA,NA,NA,NA,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Thermocyclops; dead after assay; with parasites",6,36.9,"Cyclopoid","Thermocyclops","oithonoides","(Sars G.O.)",1863,"CVI","female","present",720,"Two adult specimens of T. oithonoides, both with eggs, in the vial. One of them may be from experiment ""0705""?",33.1,2080,67,NA,33.9,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Thermocyclops",7,37.4,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","absent",905,"",34.4,NA,72.4,10,38,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Mesocyclops? ",8,37.2,"Cyclopoid","Mesocyclops","leuckarti","(Claus)",1857,"CVI","female","present",915,"",34.4,NA,72.4,10,38,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Calanoid (Eury)",9,30.9,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","absent",1382.7,"",NA,NA,NA,NA,NA,NA,0.8908286187
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Calanoid (Eury)",10,29.1,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CVI","female","absent",1395,"",NA,NA,NA,NA,NA,NA,0.8908286187
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Cyclopoid; lost",11,37.4,"Cyclopoid","","sp.",NA,NA,"","","absent",NA,"""specimen lost"" - see excel file with original IDs",NA,NA,NA,NA,NA,NA,NA
7,"2025-07-21","Siecino","surface","2025-07-22",21,NA,NA,21,3,6,"Calanoid (diapt)",12,37.1,"Calanoid","Eudiaptomus","sp.",NA,NA,"CV","female","absent",1037.6,"",NA,NA,NA,NA,NA,NA,NA
9,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Drawsko - cyclopoid",1,25.9,"Cyclopoid","Cyclops","scutifer","(Sars G.O.)",1863,"CVI","female","present",1200,"",41.5,268,81.8,156,40.3,112,NA
9,"2025-07-22","Drawsko","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Sicieno - calanoid",2,34.6,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","absent",1213.1,"",NA,NA,NA,NA,NA,NA,4.4749244646
9,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Sicieno - eurytemora",3,28.1,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CV","female","absent",1172.1,"",NA,NA,NA,NA,NA,NA,0.8908286187
9,"2025-07-21","Siecino","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Sicieno - eurytemora",5,29.9,"Calanoid","Eurytemora","lacustris","(Poppe)",1887,"CV","female","absent",1186.3,"",NA,NA,NA,NA,NA,NA,0.8908286187
9,"2025-07-22","Drawsko","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Drawsko - cyclops",6,28.9,"Cyclopoid","Cyclops","scutifer","(Sars G.O.)",1863,"CVI","female","present",1245,"",41.5,268,81.8,156,40.3,112,NA
9,"2025-07-22","Drawsko","metalimnion","2025-07-22",10,NA,NA,10,3,6,"Drawsko - cyclops",7,29.8,"Cyclopoid","Cyclops","scutifer","(Sars G.O.)",1863,"CVI","female","present",1185,"",41.5,268,81.8,156,40.3,112,NA
