"code,""order""";Genus;Species;Author;Year;Instar;Sex;Eggs;Body length (um);Notes;;
"1107,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1085;one egg sac only,  detached from the body;;
"1108,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;;1805;;;
"1109,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1370;;;
"1110,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1355;;;
"1111,""Cyclopoid""";Eucyclops;macruroides;(Lilljeborg);1901;CVI;female;;1330;;;
"0801,""Calanoid""";Heterocope; appendiculata;Sars G.O.;1863;CVI;female;;2411,5;;;
"0802,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1075;One Daphnia was also present in the vial.;;
"0803,""Calanoid""";Heterocope; appendiculata;Sars G.O.;1863;CVI;female;;2171,3;;;
"0804,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;;1105;;;
"0805,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1210,2;;;
"0807,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1173,4;;;
"0808,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1241,2;;;
"0809,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1173,2;;;
"0810,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1110; few eggs only;;
"0811,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1130,3;;;
"0812,""Calanoid""";;;;;;;;;lack of specimen in the tube;;
"1001,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;P;1388,7;;;
"1002,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;P;1518,8;;;
"1003,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;P;1520;;;
"1004,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;1090;few eggs only;;
"1006,""Calanoid""";Heterocope; appendiculata;Sars G.O.;1863;CVI;female;;2196,1;;;
"1007,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1149,9;;;
"1008,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1190,4;;;
"1009,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1124;;;
"1010,""Cyclopoid""";Cyclops;scutifer;(Sars G.O.) ;1863;CVI;female;P;1270;;;
"1011,""Calanoid""";Eurytemora; lacustris;(Poppe);1887;CVI;female;P;1479,6;;;
"1012,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1170,02;;;
"1201,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;;1288,1;;;
"1202,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1233,9;;;
