"code,""order""";Genus;Species;Author;Year;Instar;Sex;Eggs;Body length (um);Notes;;
"2706,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1240;one egg sac, few eggs;;
"2707,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;940;;;
"2709,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;965;;;
"2710,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1165;one egg sac detached from body (in the vial);;
"2711,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1310;one egg/embryo only!;;
"2712,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1530;;;
"2801,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;960;;;
"2802,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;P;1235;one egg sac detached from body;;
"2803,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;940;;;
"2804,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;;1255;;;
"2805,""Cyclopoid""";Eucyclops;sp. X;;;CVI;female;P;1440;;;
"2806,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;;1680;;;
"2807,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;;1590;;;
"2809,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1220;;;
"2810,""Cyclopoid""";;;;;;;;;NOT PRESERVED - see excel file with original IDs;;
"2811,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1180;;;
"2812,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1170;;;
"2901,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;;1638;;;
"2902,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1150;;;
"2903,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;;1195;;;
"2904,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1645;;;
"2905,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1215;spermatophores also present;;
"2906,""Cyclopoid""";Paracyclops;affinis;(Sars G.O.);1863;CVI;female;P;930;;;
"2908,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1300;;;
"2909,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;;1175;;;
"2910,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;;1616;;;
"2911,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1320;;;
"2912,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1620;;;
"3001,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1140;"The samples with codes 30## were coded as 34## in the file ""ctmax_data with original IDS and locality info"" and on the vials!";;
"3002,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CVI;female;P;1135;;;
"3004,""Cyclopoid""";Paracyclops;affinis;(Sars G.O.);1863;CVI;female;P;835;one egg sac detached from body (in the vial);;
"3006,""Cyclopoid""";Ectocyclops;phaleratus;(Koch);1838;CV;female;;925;;;
"3007,""Calanoid""";Eudiaptomus; cf. vulgaris;(Schmeil);1896;CVI;female;;1752;"lebel on tube ""3407""";;
"3008,""Calanoid""";Eudiaptomus; cf. vulgaris;(Schmeil);1896;CVI;female;;1782;"lebel on tube ""3408""";;
"3009,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;;1630;;;
"3010,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1655;;;
"3011,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;960;one egg sac detached from body (in the vial);;
"3012,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;;910;;;
